Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Dominica;DMA;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4240;4420;4630;4870;4890;5100;5270;5540;5880;5810;5850;6300;6140;6670;6960;7300;8220;8900;9780;9850;10130;10300;10040;10060;10820;10930;11710;11550;12150;12700;10990;12050;13540
Denmark;DNK;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17620;18400;19210;19730;21210;22290;23280;24480;25450;26370;28010;29010;30260;30550;32980;34430;37780;39210;41740;40730;43700;45340;45820;48210;49640;50550;53250;56570;59080;61650;62800;67130;76810
Dominican Republic;DOM;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3540;3610;4020;4270;4420;4680;4990;5440;5760;6080;6420;6620;6930;6710;6860;7860;8780;9540;10050;10090;10910;11300;11320;11760;12680;13960;15230;15740;17130;18080;16850;19530;21910
Algeria;DZA;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6720;6570;6760;6690;6590;6770;7040;7180;7550;7750;8090;8580;8990;9710;10200;10910;11400;12220;12610;12640;13100;13410;13180;12850;12760;11760;11570;11630;11710;11820;11220;11950;12930
East Asia & Pacific (excluding high income);EAP;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1429.427935;1567.713942;1743.360867;1947.76234;2174.835215;2383.374789;2609.972242;2801.827555;2812.64583;2980.395115;3241.259912;3507.091241;3812.251947;4187.019432;4640.757357;5177.795078;5878.334338;6720.306177;7381.187601;7882.680986;8664.917681;9478.70464;10300.49101;10826.33435;11406.4182;11672.31527;12187.94156;12887.54265;13922.95763;14918.2016;15114.09243;16788.81644;18566.28892
Early-demographic dividend;EAR;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2878.641747;3054.95315;3193.373427;3288.344169;3388.04125;3509.84522;3702.013214;3855.473078;3820.400426;3891.172605;4080.388637;4196.809304;4274.615698;4513.921122;4846.867051;5214.525651;5673.798423;6113.017085;6400.767252;6488.522413;6882.267433;7287.912314;7643.177614;7859.899595;8083.81803;8190.68427;8466.709709;8902.041263;9336.242065;9608.487319;9228.246791;10092.59948;11391.9181
East Asia & Pacific;EAS;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3233.930746;3473.713944;3697.032224;3950.077929;4237.590817;4533.899293;4856.250292;5112.931199;5095.287321;5321.502929;5728.103513;6042.403195;6419.292815;6848.968298;7436.022187;8069.040143;8899.818403;9861.630968;10499.30738;10837.76399;11761.03357;12625.68277;13482.80387;14134.78946;14722.47124;15093.2471;15580.42396;16328.79416;17385.0207;18347.10265;18514.09524;20292.61147;22297.3715
Europe & Central Asia (excluding high income);ECA;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6998.424093;6844.611318;6297.37484;6073.902863;5483.449449;5478.004048;5528.4116;5754.760856;5222.820755;5394.566219;6044.215271;6415.68104;6870.202939;7557.217545;8480.438662;9507.719781;11305.92677;12615.23765;14377.73324;13846.13351;14856.26789;16384.91956;17425.83856;18763.17899;19133.25118;18814.63151;19111.80056;20284.75463;21676.36834;22329.80717;22369.90598;24778.04073;27740.71549
Europe & Central Asia;ECS;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11789.41494;12103.71185;12161.58361;12266.34162;12482.01517;12845.99097;13287.13969;13874.40182;14147.63812;14707.05024;15845.99327;16627.60509;17388.19276;18062.50163;19213.22765;20270.54102;22390.28114;23911.83269;25422.66346;24833.25361;25962.21499;27491.02833;28256.14389;29506.70312;30221.91252;30626.7181;32019.51735;33741.68754;35467.28451;37294.21457;36140.63214;39264.10803;43541.3155
Ecuador;ECU;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4350;4650;4830;4980;5220;5370;5440;5700;5820;5380;5470;5820;6080;6250;6790;7300;7760;8000;8670;8650;8980;9710;10150;10970;11530;10870;10860;11410;11560;11520;10650;11590;12630
Arab Rep. Egypt;EGY;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3550;3740;3900;4010;4160;4360;4560;4790;5030;5270;5610;5850;5900;6070;6350;6700;7300;7900;8460;8670;8850;8940;10260;10350;10060;10700;10450;10790;11360;11860;12290;13050;14590
Euro area;EMU;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17048.84581;17962.83778;18534.17988;18791.14153;19563.07969;20443.98112;21099.63807;21935.50707;22922.05592;23858.73304;25318.5246;26418.29327;27339.95163;27807.54136;29025.35194;30083.90787;32597.49505;34384.69418;35500.51165;34819.40673;35859.06613;37562.24895;37981.85588;39215.91821;40160.02132;41074.46998;43688.2685;45787.24389;47881.74272;50605.88188;48398.94005;51784.98913;56470.54435
