Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Slovak Republic;SVK;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8750;9490;10110;10640;10670;11330;12400;13280;13500;14640;16220;18390;20640;23320;22960;24870;25350;26540;27810;28700;29320;28950;29600;30880;32650;32510;33490;36840
Slovenia;SVN;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13700;14350;15280;16030;17070;17960;18940;20060;20890;22440;23630;25400;26940;28830;27080;27460;28540;28590;29570;30590;30650;33080;35850;38390;41450;40600;43350;49200
Sweden;SWE;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19920;20090;19940;19760;21170;22460;23300;24160;25340;27430;29640;29960;31010;32350;34050;34710;38710;42140;43610;41220;43370;45520;46470;47350;48180;49520;50740;52870;54590;58110;58190;62380;67040
Eswatini;SWZ;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3560;3620;3700;3680;3670;4170;4460;4590;4500;4730;4690;5020;4950;5100;5500;6310;6520;7000;7060;7040;7140;7340;7510;8100;8200;8240;8030;7660;7950;8020;7890;8980;9920
Sint Maarten (Dutch part);SXM;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31430;32960;36500;32540;32590;38380;37920;38220;37080;35180;37830;31760;35230;
Seychelles;SYC;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8660;9140;10040;10780;10610;10420;11600;13190;13230;13340;13930;14230;13240;13340;14310;16010;17670;18190;17370;17260;17940;20270;20860;20930;22870;22470;23850;24900;26530;28430;26410;28580;33480
Syrian Arab Republic;SYR;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Turks and Caicos Islands;TCA;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20910;22140;24190;25260;26120;26400;19520;21910;22860
Chad;TCD;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;710;770;820;670;750;750;740;770;810;790;760;840;880;860;1140;1320;1310;1380;1360;1580;1770;1760;1690;1500;1600;1760;1630;1560;1580;1600;1550;1550;1640
East Asia & Pacific (IDA & IBRD countries);TEA;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1446.418844;1586.344087;1764.101242;1970.97988;2200.811649;2411.834361;2641.05761;2835.092115;2845.924626;3015.543652;3279.357985;3548.168362;3856.726204;4235.732361;4694.678645;5237.839732;5946.33;6797.812145;7466.052035;7973.030456;8763.901311;9586.537978;10417.11037;10948.38745;11534.57681;11803.116;12324.16935;13031.15792;14077.80197;15083.91732;15281.91893;16975.36983;18772.85441
Europe & Central Asia (IDA & IBRD countries);TEC;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6806.756991;6636.97003;6180.270531;6040.03737;5602.501034;5685.856415;5810.488517;6058.256116;5657.455789;5853.562735;6480.745546;6879.272934;7368.148804;8010.387784;8936.690508;9914.150688;11658.83934;13024.83238;14839.34857;14436.51929;15465.30639;16992.26834;17999.73881;19215.57278;19662.14557;19556.94583;20019.85794;21311.23836;22794.82078;23764.25464;23828.72499;26252.19797;29494.91773
Togo;TGO;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1090;1080;1040;900;1030;1100;1190;1340;1290;1290;1280;1280;1330;1410;1390;1330;1370;1350;1400;1450;1510;1680;1630;1700;1780;1910;1930;1970;2080;2170;2180;2360;2610
Thailand;THA;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4350;4800;5210;5700;6190;6730;7100;6900;6310;6670;7140;7420;7870;8470;9150;9740;10550;11370;11670;11600;12440;12960;13920;14130;14360;14670;15470;16250;17220;18070;17420;18180;20070
Tajikistan;TJK;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2570;2410;1720;1460;990;970;780;840;890;920;990;1080;1210;1330;1500;1920;2210;2500;2740;2600;2840;3150;3480;3950;4060;3700;3570;3710;4040;4320;4500;5190;5680
Turkmenistan;TKM;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4440;3720;3390;3620;3260;3440;3970;4070;4350;4360;4580;4860;5280;6010;6990;7850;8180;8680;9850;10530;11220;11850;12440;13030;13130;14050;15400;;;
Latin America & the Caribbean (IDA & IBRD countries);TLA;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5964.116457;6309.649095;6539.913425;6744.704866;7063.26224;7221.867311;7512.525301;7917.051688;8054.696845;8016.827153;8370.927307;8481.514931;8491.29879;8708.73942;9301.883312;9904.114542;10862.74851;11689.8621;12305.22683;12096.66971;12824.80889;13662.26521;13970.00263;14490.67968;14801.04358;14640.17059;14853.64315;15467.10393;15847.15362;16067.33155;15168.09123;16630.98134;18379.77966
Timor-Leste;TLS;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1770;1950;2220;1810;2090;2570;3880;5420;8340;6240;7350;9060;8690;7340;6220;5060;4210;4460;4510;5240;5670;2900;4780
Middle East & North Africa (IDA & IBRD countries);TMN;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4609.600663;4969.121331;5208.245693;5310.524145;5374.283103;5509.94053;5847.308279;6055.984918;6423.325134;6683.646778;7161.377733;7433.624341;7646.709689;7808.556258;8479.002324;8850.624388;9502.147937;10252.56505;10660.78056;10733.50379;11138.96039;11105.74827;11332.256;11153.41298;10802.58535;10149.28125;10243.16035;10669.12951;10902.01459;10992.90855;10726.11649;11523.32571;12642.99624
Tonga;TON;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2200;2390;2430;2560;2840;3030;3150;3230;3380;3500;3520;3680;3960;4050;4060;4110;4290;4390;4680;4520;4610;5000;5140;5250;5380;5540;5960;6510;6830;7150;7290;7160;
South Asia (IDA & IBRD);TSA;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1261.00446;1299.400895;1375.752275;1437.962501;1523.505976;1629.003146;1736.883834;1796.140252;1877.501691;2011.618423;2095.096365;2197.834256;2272.594663;2440.713568;2651.70456;2892.122022;3159.28344;3435.738767;3558.942617;3772.576086;4031.492853;4269.503224;4586.558234;4768.236846;4946.770511;5160.656673;5437.194276;5780.33082;6223.533286;6517.072435;6211.395746;6928.092369;7817.72699
Sub-Saharan Africa (IDA & IBRD countries);TSS;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1677.955524;1711.866261;1671.898602;1671.849128;1688.423551;1764.640949;1822.135322;1892.004782;1899.100869;1929.391219;1961.153188;2048.179197;2154.100878;2228.301402;2370.681166;2530.052661;2741.199083;2885.090709;2999.195897;3033.896714;3145.573903;3266.104955;3280.068531;3405.829103;3607.94724;3616.839803;3659.569997;3680.236349;3763.559513;3846.406131;3733.994401;3957.066859;4292.310674
Trinidad and Tobago;TTO;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6270;6590;7380;7560;7830;8350;8910;9960;10970;11950;12760;13760;15120;17420;19820;21150;24480;26380;27660;26210;27350;25840;27240;27960;28040;27410;25500;26270;25400;25710;23460;25330;27040
Tunisia;TUN;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3620;3780;4060;4110;4270;4430;4740;5040;5300;5640;5940;6250;6370;6750;7280;7620;8240;8890;9320;9640;9960;9840;10000;10000;10310;10200;10410;10620;11040;11280;10250;11170;12160
Turkiye;TUR;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8370;8570;9130;9940;9360;10120;10850;11650;8870;8530;9360;8930;9110;9420;10710;11740;13430;14660;15820;15220;17190;19430;20450;22050;23610;25110;25850;27240;27410;27280;27390;30060;36920
Tuvalu;TUV;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4760;5930;4210;4590;4510;4540;5310;5220;5250;4750;4750;4080;5080;4470;5860;5890;5870;6350;6720;6580;6850;7310
Tanzania;TZA;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;890;920;920;930;930;960;1010;1040;1070;1100;1150;1190;1290;1350;1450;1560;1700;1790;1870;1940;2020;2150;2040;2130;2180;2270;2370;2410;2540;2640;2640;2800;3040
Uganda;UGA;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;660;690;700;760;800;890;960;1000;1030;1100;1110;1150;1240;1300;1380;1470;1640;1770;1910;1980;2060;2240;1990;1990;2070;2130;2100;2080;2180;2280;2330;2440;2650
Ukraine;UKR;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7790;7330;6580;5640;4530;4090;3780;3760;3730;3790;3990;4550;4920;5550;6440;6880;7630;8600;8940;7640;8240;8790;9600;10950;10620;10590;11260;12030;12760;13510;13390;13950;13360
Upper middle income;UMC;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3137.74731;3293.642629;3407.47008;3602.602455;3773.386113;3962.443929;4208.049289;4469.593066;4427.6182;4590.513618;4974.318039;5239.119531;5536.505465;5928.305796;6528.908314;7182.039014;8157.443136;9124.382853;10011.14244;10284.65598;11161.0336;12121.7115;12942.32211;13583.33536;14094.95779;14141.25484;14559.2212;15350.79453;16351.60199;17181.4679;17133.64282;19053.61054;21086.05662
Uruguay;URY;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6430;6930;7640;8000;8700;8720;9340;10310;10830;10830;10810;10600;10000;9800;10520;11830;12760;13940;15080;15740;17050;18320;17920;19420;20330;21020;21570;22110;22600;23350;22030;23110;26290
United States;USA;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23640;24100;25090;25910;27250;28450;29870;31500;33120;34730;36800;37710;38430;39760;42070;44550;47140;48300;48400;47030;49050;50870;53130;54380;56670;58180;58870;61160;64060;66290;64770;71130;77530
Uzbekistan;UZB;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2360;2310;2200;2190;2210;2310;2410;2520;2620;2750;2880;3030;3330;3640;3970;4590;5100;5300;5560;5950;6130;6410;6580;6790;6860;6970;7500;7810;7840;8650;9640
St. Vincent and the Grenadines;VCT;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3750;3910;4310;4590;4570;5030;5230;5450;5740;5910;6180;6510;6970;7520;8010;8530;9580;10330;10630;10740;10440;10640;11000;11640;11730;12140;13420;13520;14350;14770;14350;14960;16810
RB Venezuela;VEN;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9380;10440;10870;10910;10610;11100;11060;11670;11620;11000;11480;11870;10640;9870;11730;13340;15010;16780;17590;16720;16380;16960;;;;;;;;;;;
British Virgin Islands;VGB;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Virgin Islands (U.S.);VIR;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viet Nam;VNM;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1120;1220;1340;1450;1600;1800;1960;2110;2210;2330;2520;2710;2890;3120;3410;3740;4080;4420;4710;4890;5220;5630;6160;6490;6970;7210;7820;8500;9360;10150;10560;11130;12810
Vanuatu;VUT;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1620;1490;1490;1500;1590;1630;1710;1800;1970;1990;2040;2030;1850;1910;1980;2070;2310;2370;2610;2550;2570;2660;2580;2740;2850;2830;2930;3040;3210;3660;3350;3530;3780
World;WLD;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5493.049015;5701.297253;5867.326199;6034.528534;6265.214805;6515.188536;6807.344034;7106.297349;7246.512318;7495.335111;7954.94384;8239.239378;8506.891219;8869.998557;9473.878318;10076.71422;10942.82123;11681.19797;12183.51499;12132.95339;12793.89606;13481.80385;14043.99681;14520.29433;14934.33195;15059.13021;15452.13406;16125.34453;16902.24052;17557.47084;17144.5111;18669.27523;20509.80725
Samoa;WSM;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1530;1520;;;;;;;;;;;3260;3480;3680;4020;4230;4370;4580;4630;5030;5240;5110;5160;5230;5530;5960;6060;6080;6360;6180;6000;5870
Kosovo;XKX;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6850;6980;7350;7970;8300;8580;8830;9510;10130;10650;11200;12070;11580;13360;14870
 Rep. Yemen;YEM;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1800;1850;1990;2050;2150;2190;2160;2240;2410;2380;2540;2650;2710;2760;2840;3010;3210;3320;3370;3510;3670;3130;3110;3280;;;;;;;;;
South Africa;ZAF;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6300;6350;6250;6370;6620;6840;7140;7350;7370;7560;7980;8250;8670;9000;9630;10360;11170;11820;12300;12150;12520;12970;12810;13230;13220;13270;13350;13560;13930;14080;13310;14410;15570
Zambia;ZMB;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1410;1380;1370;1500;1390;1420;1510;1550;1520;1590;1660;1740;1790;1910;1960;2070;2190;2300;2530;2830;2930;3110;3300;3360;3390;3290;3220;3240;3450;3450;3270;3260;3680
Zimbabwe;ZWE;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1570;1630;1440;1490;1610;1610;1850;1810;1730;1790;1740;1840;1750;1500;1370;1330;1250;1150;780;1350;1660;1850;2090;2270;2270;2310;2390;2070;2410;2260;2060;2280;2460
